model,version,r2,mae,rmse
linear_regression,improved,-94.0894,13.9632,14.7117
random_forest,improved,0.3211,0.967,1.2431
linear_regression,improved,-113.4783,15.3241,16.142
random_forest,improved,0.3228,0.9659,1.2416
linear_regression,improved,-120.6797,15.8034,16.642
random_forest,improved,0.3211,0.9687,1.2431
linear_regression,improved,-94.0894,13.9632,14.7117
linear_regression,improved,-94.0894,13.9632,14.7117
linear_regression,improved,-94.0894,13.9632,14.7117
random_forest,improved,0.3211,0.967,1.2431
linear_regression,improved,-113.4783,15.3241,16.142
random_forest,improved,0.3228,0.9659,1.2416
linear_regression,improved,-120.6797,15.8034,16.642
random_forest,improved,0.3211,0.9687,1.2431
linear_regression,improved,-94.0894,13.9632,14.7117
random_forest,improved,0.3211,0.967,1.2431
linear_regression,improved,-113.4783,15.3241,16.142
random_forest,improved,0.3228,0.9659,1.2416
linear_regression,improved,-120.6797,15.8034,16.642
random_forest,improved,0.3211,0.9687,1.2431
random_forest,improved,0.3211,0.967,1.2431
linear_regression,improved,-113.4783,15.3241,16.142
random_forest,improved,0.3228,0.9659,1.2416
linear_regression,improved,-120.6797,15.8034,16.642
random_forest,improved,0.3211,0.9687,1.2431
